file,source,source_commit,source_sha256,selection
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_03/attempt_20260910_223616_37d6e820/raw.serial,measurement-record,fe78ee8440a047998e11c4b1755e697f189e0f2cbbfd9084b2fcc14c76eac613,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_03/attempt_20260910_223616_37d6e820/raw.serial,measurement-record,fe78ee8440a047998e11c4b1755e697f189e0f2cbbfd9084b2fcc14c76eac613,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_03/attempt_20260910_223616_37d6e820/raw.serial,measurement-record,fe78ee8440a047998e11c4b1755e697f189e0f2cbbfd9084b2fcc14c76eac613,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_03/attempt_20260910_223616_37d6e820/raw.serial,measurement-record,fe78ee8440a047998e11c4b1755e697f189e0f2cbbfd9084b2fcc14c76eac613,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_04/attempt_20260910_224623_13fae146/raw.serial,measurement-record,51a9bbe28e24393eeff97c0d9bd50cfa6eff5f9065f93c52b32d754afb794d67,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_04/attempt_20260910_224623_13fae146/raw.serial,measurement-record,51a9bbe28e24393eeff97c0d9bd50cfa6eff5f9065f93c52b32d754afb794d67,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_04/attempt_20260910_224623_13fae146/raw.serial,measurement-record,51a9bbe28e24393eeff97c0d9bd50cfa6eff5f9065f93c52b32d754afb794d67,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_04/attempt_20260910_224623_13fae146/raw.serial,measurement-record,51a9bbe28e24393eeff97c0d9bd50cfa6eff5f9065f93c52b32d754afb794d67,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_05/attempt_20260910_225628_3f7acdb6/raw.serial,measurement-record,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_05/attempt_20260910_225628_3f7acdb6/raw.serial,measurement-record,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_05/attempt_20260910_225628_3f7acdb6/raw.serial,measurement-record,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_05/attempt_20260910_225628_3f7acdb6/raw.serial,measurement-record,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_05/attempt_20260910_225628_3f7acdb6/raw.serial,measurement-record,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_06/attempt_20260910_230633_130e1337/raw.serial,measurement-record,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_06/attempt_20260910_230633_130e1337/raw.serial,measurement-record,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_06/attempt_20260910_230633_130e1337/raw.serial,measurement-record,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_06/attempt_20260910_230633_130e1337/raw.serial,measurement-record,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_06/attempt_20260910_230633_130e1337/raw.serial,measurement-record,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_07/attempt_20260910_231640_10442fa8/raw.serial,measurement-record,83b1941bedcc91744d697585054b46b1b7a867c482a16e97aa0d6c39ae50db87,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_07/attempt_20260910_231640_10442fa8/raw.serial,measurement-record,83b1941bedcc91744d697585054b46b1b7a867c482a16e97aa0d6c39ae50db87,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_07/attempt_20260910_231640_10442fa8/raw.serial,measurement-record,83b1941bedcc91744d697585054b46b1b7a867c482a16e97aa0d6c39ae50db87,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_07/attempt_20260910_231640_10442fa8/raw.serial,measurement-record,83b1941bedcc91744d697585054b46b1b7a867c482a16e97aa0d6c39ae50db87,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_08/attempt_20260910_232645_55d8cdcc/raw.serial,measurement-record,7cf67554f2d3d6da7a3e0061734a4ffc04ca13e05e01fd660ef287f3910ec198,CRC-validated JSON records converted to CSV; condition columns added
