platform,campaign,level,bin_us,kernel_sigma_bins,upper_quantile,assignment_hash,assignments_identical,B_us,B_deviation_pct,Rz_us,Rz_deviation_pct,Rlate_us,Rlate_deviation_pct
RP2040 unit 1,inter-unit,44,40,1.2,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,1.2,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,1.2,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,1.5,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,1.5,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,1.5,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,0.9,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,0.9,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,0.9,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.2,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.2,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.2,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.5,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.5,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,50,1.5,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,0.9,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,0.9,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,0.9,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.2,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.2,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.2,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.5,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.5,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,60,1.5,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 2,inter-unit,44,40,0.9,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,0.9,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,0.9,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.2,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.2,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.2,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.5,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.5,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,40,1.5,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,0.9,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,0.9,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,0.9,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.2,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.2,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.2,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.5,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.5,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,50,1.5,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,0.9,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,0.9,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,0.9,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.2,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.2,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.2,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.5,0.75,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.5,0.8,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 2,inter-unit,44,60,1.5,0.85,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,True,68793.93697478992,0.0,25023.785797487304,0.0,30320.628242601393,0.0
RP2040 unit 1,inter-unit,65,40,0.9,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,0.9,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,0.9,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.2,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.2,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.2,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.5,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.5,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,40,1.5,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,0.9,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,0.9,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,0.9,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.2,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.2,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.2,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.5,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.5,0.8,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,50,1.5,0.85,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
RP2040 unit 1,inter-unit,65,60,0.9,0.75,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,True,105465.85514018692,0.0,33696.57343124166,0.0,41611.77581219403,0.0
