invocation,candidate,label,t_us,overflow
22,3,1,9099084,0
22,3,2,9100538,0
22,3,3,9101953,0
22,3,5,9101990,0
22,4,0,9101991,0
22,4,1,9108026,0
22,4,4,9109445,0
22,5,0,9109446,0
22,5,1,9115480,0
22,5,2,9116933,0
22,5,3,9118348,0
22,5,8,9119985,0
23,1,0,9183189,0
23,1,1,9189274,0
23,1,2,9190728,0
23,1,3,9192150,0
23,1,8,9193792,0
24,1,0,9223662,0
24,1,1,9229748,0
24,1,4,9231186,0
24,2,0,9231187,0
24,2,1,9237222,0
24,2,2,9238676,0
24,2,3,9240098,0
24,2,5,9240106,0
24,3,0,9240107,0
24,3,1,9246141,0
24,3,2,9247595,0
24,3,3,9249009,0
24,3,5,9249026,0
24,4,0,9249027,0
24,4,1,9255062,0
24,4,4,9256486,0
24,5,0,9256487,0
24,5,1,9262517,0
24,5,2,9263975,0
24,5,3,9265389,0
24,5,8,9267027,0
25,1,0,9330234,0
25,1,1,9336336,0
25,1,2,9337789,0
25,1,3,9339212,0
25,1,8,9340849,0
26,1,0,9370728,0
26,1,1,9376818,0
26,1,2,9378271,0
26,1,3,9379694,0
26,1,8,9381331,0
27,1,0,9411198,0
27,1,1,9417287,0
27,1,4,9418710,0
27,2,0,9418710,0
27,2,1,9424745,0
27,2,4,9426189,0
27,3,0,9426190,0
27,3,1,9432220,0
27,3,4,9433670,0
27,4,0,9433671,0
27,4,1,9439701,0
27,4,2,9441155,0
27,4,3,9442578,0
27,4,5,9442617,0
27,5,0,9442618,0
27,5,1,9448652,0
27,5,2,9450106,0
27,5,3,9451521,0
27,5,5,9451545,0
27,6,0,9451545,0
27,6,1,9457580,0
27,6,2,9459033,0
27,6,3,9460448,0
27,6,8,9462085,0
28,1,0,9531546,0
28,1,1,9537648,0
28,1,2,9539101,0
28,1,3,9540524,0
28,1,5,9540561,0
28,2,0,9540562,0
28,2,1,9546597,0
28,2,4,9548020,0
28,3,0,9548021,0
28,3,1,9554055,0
28,3,2,9555509,0
28,3,3,9556923,0
28,3,8,9558561,0
29,1,0,9605105,0
29,1,1,9611191,0
29,1,2,9612644,0
29,1,3,9614071,0
29,1,5,9614085,0
29,2,0,9614086,0
29,2,1,9620117,0
29,2,4,9621552,0
29,3,0,9621553,0
29,3,1,9627588,0
29,3,4,9629032,0
29,4,0,9629033,0
29,4,1,9635068,0
29,4,4,9636505,0
29,5,0,9636506,0
29,5,1,9642536,0
29,5,4,9643955,0
29,6,0,9643956,0
29,6,1,9649987,0
29,6,2,9651440,0
29,6,3,9652859,0
29,6,5,9652874,0
29,7,0,9652875,0
29,7,1,9658906,0
29,7,2,9660359,0
29,7,3,9661774,0
29,7,8,9663415,0
30,1,0,9739111,0
30,1,1,9745201,0
30,1,2,9746654,0
30,1,3,9748077,0
30,1,8,9749714,0
31,1,0,9779581,0
31,1,1,9785671,0
31,1,2,9787124,0
31,1,3,9788547,0
31,1,8,9790184,0
32,1,0,9820064,0
32,1,1,9826165,0
32,1,4,9827615,0
32,2,0,9827616,0
32,2,1,9833650,0
32,2,2,9835103,0
32,2,3,9836526,0
32,2,8,9838163,0
33,1,0,9874288,0
33,1,1,9880374,0
33,1,2,9881827,0
33,1,3,9883254,0
33,1,5,9883276,0
33,2,0,9883277,0
33,2,1,9889307,0
33,2,2,9890761,0
33,2,3,9892175,0
33,2,5,9892211,0
33,3,0,9892211,0
33,3,1,9898246,0
33,3,4,9899683,0
33,4,0,9899683,0
33,4,1,9905718,0
33,4,2,9907171,0
33,4,3,9908586,0
33,4,5,9908598,0
33,5,0,9908599,0
33,5,1,9914634,0
33,5,4,9916070,0
33,6,0,9916071,0
33,6,1,9922102,0
33,6,2,9923559,0
33,6,3,9924974,0
33,6,8,9926611,0
34,1,0,10000223,0
34,1,1,10006313,0
34,1,4,10007745,0
34,2,0,10007746,0
34,2,1,10013780,0
34,2,2,10015234,0
34,2,3,10016656,0
34,2,5,10016670,0
34,3,0,10016671,0
34,3,1,10022705,0
34,3,2,10024159,0
34,3,3,10025574,0
34,3,5,10025593,0
34,4,0,10025594,0
34,4,1,10031624,0
34,4,2,10033082,0
34,4,3,10034497,0
34,4,7,10036134,0
34,5,0,10036135,0
34,5,1,10042165,0
34,5,4,10043598,0
34,6,0,10043599,0
34,6,1,10049630,0
34,6,2,10051083,0
34,6,3,10052498,0
34,6,8,10054135,0
35,1,0,10130091,0
35,1,1,10136180,0
35,1,4,10137606,0
35,2,0,10137607,0
35,2,1,10143641,0
35,2,2,10145094,0
35,2,3,10146517,0
35,2,5,10146525,0
35,3,0,10146526,0
35,3,1,10152556,0
35,3,2,10154014,0
35,3,3,10155429,0
35,3,5,10155438,0
35,4,0,10155438,0
35,4,1,10161469,0
35,4,4,10162906,0
35,5,0,10162907,0
35,5,1,10168938,0
35,5,4,10170360,0
35,6,0,10170360,0
35,6,1,10176395,0
35,6,2,10177848,0
35,6,3,10179263,0
35,6,5,10179269,0
35,7,0,10179269,0
35,7,1,10185304,0
35,7,4,10186745,0
35,8,0,10186746,0
35,8,1,10192780,0
35,8,2,10194234,0
35,8,3,10195648,0
35,8,5,10195669,0
35,9,0,10195670,0
35,9,1,10201700,0
35,9,2,10203158,0
35,9,3,10204573,0
35,9,5,10204601,0
35,10,0,10204601,0
35,10,1,10210632,0
35,10,4,10212054,0
35,11,0,10212054,0
35,11,1,10218089,0
35,11,2,10219542,0
35,11,3,10220957,0
35,11,5,10220968,0
35,12,0,10220969,0
35,12,1,10227003,0
35,12,2,10228457,0
35,12,3,10229872,0
35,12,8,10231509,0
36,1,0,10360940,0
36,1,1,10367030,0
36,1,4,10368449,0
36,2,0,10368450,0
36,2,1,10374485,0
36,2,2,10375939,0
36,2,3,10377361,0
36,2,5,10377375,0
36,3,0,10377376,0
36,3,1,10383410,0
36,3,2,10384864,0
36,3,3,10386278,0
36,3,5,10386290,0
36,4,0,10386291,0
36,4,1,10392322,0
36,4,2,10393779,0
36,4,3,10395194,0
36,4,5,10395220,0
36,5,0,10395221,0
36,5,1,10401251,0
36,5,2,10402709,0
36,5,3,10404123,0
36,5,8,10405761,0
37,1,0,10475293,0
37,1,1,10481379,0
37,1,2,10482836,0
37,1,3,10484259,0
37,1,5,10484294,0
37,2,0,10484295,0
37,2,1,10490325,0
37,2,2,10491779,0
37,2,3,10493198,0
37,2,5,10493202,0
37,3,0,10493203,0
37,3,1,10499233,0
37,3,4,10500650,0
37,4,0,10500651,0
37,4,1,10506686,0
37,4,2,10508139,0
37,4,3,10509554,0
37,4,5,10509581,0
37,5,0,10509581,0
37,5,1,10515616,0
37,5,2,10517070,0
37,5,3,10518484,0
37,5,5,10518501,0
37,6,0,10518502,0
37,6,1,10524537,0
37,6,2,10525990,0
37,6,3,10527405,0
37,6,8,10529042,0
38,1,0,10609429,0
38,1,1,10615519,0
38,1,4,10616943,0
38,2,0,10616944,0
38,2,1,10622979,0
38,2,4,10624411,0
38,3,0,10624412,0
38,3,1,10630442,0
38,3,4,10631887,0
38,4,0,10631887,0
38,4,1,10637922,0
38,4,4,10639339,0
38,5,0,10639340,0
38,5,1,10645374,0
38,5,4,10646822,0
38,6,0,10646823,0
38,6,1,10652857,0
38,6,4,10654308,0
38,7,0,10654309,0
38,7,1,10660339,0
38,7,2,10661793,0
38,7,3,10663220,0
38,7,5,10663245,0
38,8,0,10663245,0
38,8,1,10669276,0
38,8,4,10670727,0
38,9,0,10670727,0
38,9,1,10676762,0
38,9,4,10678188,0
38,10,0,10678189,0
38,10,1,10684224,0
38,10,4,10685653,0
38,11,0,10685654,0
38,11,1,10691685,0
38,11,4,10693123,0
38,12,0,10693124,0
38,12,1,10699154,0
38,12,4,10700592,0
38,13,0,10700593,0
38,13,1,10706627,0
38,13,4,10708079,0
38,14,0,10708079,0
38,14,1,10714114,0
38,14,2,10715568,0
38,14,3,10716982,0
38,14,5,10717017,0
38,15,0,10717017,0
38,15,1,10723052,0
38,15,2,10724506,0
38,15,3,10725920,0
38,15,5,10725931,0
38,16,0,10725932,0
38,16,1,10731963,0
38,16,2,10733420,0
38,16,3,10734835,0
38,16,5,10734847,0
38,17,0,10734848,0
38,17,1,10740878,0
38,17,2,10742332,0
38,17,3,10743751,0
38,17,5,10743786,0
38,18,0,10743786,0
38,18,1,10749817,0
38,18,4,10751262,0
38,19,0,10751263,0
38,19,1,10757297,0
38,19,2,10758751,0
38,19,3,10760165,0
38,19,8,10761803,0
39,1,0,10934897,0
39,1,1,10940983,0
39,1,4,10942407,0
39,2,0,10942407,0
39,2,1,10948442,0
39,2,4,10949868,0
39,3,0,10949869,0
39,3,1,10955904,0
39,3,2,10957357,0
39,3,3,10958780,0
39,3,8,10960417,0
40,1,0,11003913,0
40,1,1,11009999,0
40,1,2,11011452,0
40,1,3,11012879,0
40,1,8,11014516,0
41,1,0,11044987,0
41,1,1,11051073,0
41,1,2,11052527,0
41,1,3,11053954,0
41,1,5,11053968,0
41,2,0,11053969,0
41,2,1,11059999,0
41,2,2,11061453,0
41,2,3,11062872,0
41,2,8,11064509,0
42,1,0,11105842,0
42,1,1,11111940,0
42,1,4,11113385,0
42,2,0,11113386,0
42,2,1,11119416,0
42,2,2,11120870,0
42,2,3,11122292,0
42,2,5,11122315,0
42,3,0,11122316,0
42,3,1,11128350,0
42,3,2,11129804,0
42,3,3,11131218,0
42,3,8,11132860,0
43,1,0,11180704,0
43,1,1,11186794,0
43,1,2,11188247,0
43,1,3,11189670,0
43,1,5,11189691,0
43,2,0,11189692,0
43,2,1,11195726,0
43,2,2,11197180,0
43,2,3,11198594,0
43,2,8,11200232,0
44,1,0,11241557,0
44,1,1,11247647,0
44,1,2,11249101,0
44,1,3,11250523,0
44,1,8,11252160,0
45,1,0,11282635,0
45,1,1,11288725,0
45,1,4,11290158,0
45,2,0,11290158,0
45,2,1,11296193,0
45,2,4,11297635,0
45,3,0,11297636,0
45,3,1,11303670,0
45,3,4,11305102,0
45,4,0,11305103,0
45,4,1,11311134,0
45,4,2,11312587,0
45,4,3,11314014,0
45,4,5,11314017,0
45,5,0,11314018,0
45,5,1,11320049,0
45,5,4,11321479,0
45,6,0,11321480,0
45,6,1,11327515,0
45,6,2,11328968,0
45,6,3,11330383,0
45,6,5,11330416,0
45,7,0,11330417,0
45,7,1,11336452,0
45,7,2,11337905,0
45,7,3,11339320,0
45,7,8,11340957,0
46,1,0,11419175,0
46,1,1,11425265,0
46,1,2,11426719,0
46,1,3,11428141,0
46,1,8,11429779,0
47,1,0,11460254,0
47,1,1,11466344,0
47,1,4,11467782,0
47,2,0,11467783,0
47,2,1,11473817,0
47,2,2,11475271,0
47,2,3,11476693,0
47,2,5,11476718,0
47,3,0,11476719,0
47,3,1,11482753,0
47,3,4,11484203,0
47,4,0,11484204,0
47,4,1,11490234,0
47,4,2,11491688,0
47,4,3,11493107,0
47,4,5,11493113,0
47,5,0,11493114,0
47,5,1,11499145,0
47,5,2,11500598,0
47,5,3,11502013,0
47,5,5,11502014,0
47,6,0,11502015,0
47,6,1,11508050,0
47,6,4,11509480,0
47,7,0,11509481,0
47,7,1,11515515,0
47,7,2,11516969,0
47,7,3,11518384,0
47,7,8,11520021,0
48,1,0,11602579,0
48,1,1,11608668,0
48,1,2,11610122,0
48,1,3,11611545,0
48,1,8,11613186,0
49,1,0,11643661,0
49,1,1,11649747,0
49,1,2,11651200,0
49,1,3,11652623,0
49,1,5,11652631,0
49,2,0,11652632,0
49,2,1,11658666,0
49,2,4,11660105,0
49,3,0,11660106,0
49,3,1,11666140,0
49,3,4,11667561,0
49,4,0,11667562,0
49,4,1,11673597,0
49,4,4,11675015,0
49,5,0,11675016,0
49,5,1,11681046,0
49,5,4,11682472,0
49,6,0,11682472,0
49,6,1,11688507,0
49,6,2,11689960,0
49,6,3,11691375,0
49,6,5,11691405,0
49,7,0,11691406,0
49,7,1,11697440,0
49,7,4,11698862,0
49,8,0,11698863,0
49,8,1,11704898,0
49,8,2,11706351,0
49,8,3,11707766,0
49,8,5,11707776,0
49,9,0,11707777,0
49,9,1,11713812,0
49,9,2,11715265,0
49,9,3,11716680,0
49,9,5,11716691,0
49,10,0,11716692,0
49,10,1,11722726,0
49,10,2,11724180,0
49,10,3,11725594,0
49,10,5,11725601,0
49,11,0,11725602,0
49,11,1,11731632,0
49,11,2,11733089,0
49,11,3,11734504,0
49,11,5,11734522,0
49,12,0,11734523,0
49,12,1,11740554,0
