invocation,candidate,exit,duration_us
93,2,accept,10540
94,1,accept,10604
95,1,w0,8980
95,2,accept,10540
96,1,accept,10603
97,1,z,7519
97,2,w0,8915
97,3,accept,10541
98,1,accept,10607
99,1,w0,8988
99,2,w0,8940
99,3,z,7459
99,4,accept,10541
100,1,accept,10615
101,1,w0,8985
101,2,accept,10540
102,1,z,7528
102,2,z,7468
102,3,z,7473
102,4,z,7460
102,5,z,7479
102,6,accept,10548
103,1,w0,8974
103,2,accept,10540
104,1,z,7521
104,2,z,7475
104,3,accept,10548
105,1,accept,10603
106,1,hint,10603
106,2,z,7471
106,3,z,7453
106,4,z,7463
106,5,w0,8904
106,6,accept,10536
107,1,accept,10603
108,1,z,7526
108,2,w0,8927
108,3,w0,8921
108,4,z,7465
108,5,w0,8919
108,6,accept,10540
109,1,w0,8972
109,2,z,7467
109,3,z,7479
109,4,z,7454
109,5,w0,8934
109,6,w0,8930
109,7,accept,10540
110,1,z,7508
110,2,z,7460
110,3,z,7462
110,4,w0,8932
110,5,accept,10540
111,1,z,7514
111,2,accept,10548
112,1,w0,8990
112,2,w0,8910
112,3,z,7477
112,4,w0,8907
112,5,z,7471
112,6,z,7463
112,7,z,7459
112,8,accept,10540
113,1,z,7523
113,2,z,7450
113,3,w0,8913
113,4,w0,8934
113,5,w0,8917
113,6,w0,8909
113,7,w0,8919
113,8,z,7459
113,9,w0,8931
113,10,accept,10540
114,1,z,7536
114,2,accept,10548
115,1,z,7527
115,2,accept,10549
116,1,accept,10604
117,1,accept,10604
118,1,accept,10603
119,1,z,7504
119,2,accept,10552
120,1,w0,8991
120,2,w0,8937
120,3,accept,10541
121,1,w0,8969
121,2,z,7451
121,3,z,7460
121,4,accept,10540
122,1,w0,8997
122,2,z,7471
122,3,accept,10540
123,1,z,7506
123,2,w0,8913
123,3,accept,10540
124,1,w0,8997
124,2,accept,10540
125,1,w0,8995
125,2,z,7476
125,3,z,7474
125,4,w0,8934
125,5,z,7481
125,6,accept,10540
126,1,accept,10608
127,1,z,7522
127,2,accept,10548
128,1,accept,10603
129,1,accept,10603
130,1,z,7523
130,2,accept,10548
131,1,accept,10603
132,1,accept,10615
133,1,w0,9002
133,2,z,7460
133,3,z,7469
133,4,z,7469
133,5,accept,10540
134,1,accept,10603
135,1,w0,8996
135,2,z,7477
135,3,accept,10540
136,1,z,7554
136,2,z,7481
136,3,accept,10548
137,1,w0,9001
137,2,accept,10540
138,1,w0,8986
138,2,z,7460
138,3,accept,10540
139,1,z,7535
139,2,accept,10548
140,1,z,7527
140,2,w0,8941
140,3,accept,10540
141,1,w0,8997
141,2,z,7457
141,3,accept,10544
142,1,z,7537
142,2,w0,8934
142,3,z,7452
142,4,w0,8938
142,5,z,7459
142,6,z,7476
142,7,w0,8926
142,8,accept,10540
143,1,z,7519
143,2,w0,8916
143,3,accept,10540
144,1,accept,10615
145,1,z,7546
145,2,z,7486
145,3,z,7454
145,4,w0,8927
145,5,z,7479
145,6,z,7485
145,7,accept,10540
