board,set,key,boot,n,mean_K,p_K1,mean_ms
rp2040_1,87,9,2,1000,4.181,0.23,346.81071000000003
rp2040_1,87,9,3,1000,3.955,0.26,334.695315
rp2040_1,87,9,4,1000,3.88,0.238,330.476703
rp2040_2,87,0,0,1000,3.974,0.263,335.04912
rp2040_2,87,0,1,1000,4.008,0.241,337.474466
rp2040_2,87,0,2,1000,4.034,0.248,338.41788299999996
rp2040_2,87,0,3,1000,3.992,0.257,336.47754
rp2040_2,87,0,4,1000,3.902,0.26,331.017072
rp2040_2,87,1,0,1000,3.864,0.252,329.047065
rp2040_2,87,1,1,1000,3.975,0.271,335.977457
rp2040_2,87,1,2,1000,3.936,0.245,333.346212
rp2040_2,87,1,3,1000,3.935,0.25,333.223135
rp2040_2,87,1,4,1000,3.851,0.27,328.78111099999995
rp2040_2,87,2,0,1000,4.008,0.266,337.07469
rp2040_2,87,2,1,1000,3.878,0.252,330.17312599999997
rp2040_2,87,2,2,1000,3.915,0.265,332.645761
rp2040_2,87,2,3,1000,3.946,0.258,334.018642
rp2040_2,87,2,4,1000,3.938,0.242,333.973282
rp2040_2,87,3,0,1000,3.849,0.259,328.03195400000004
rp2040_2,87,3,1,1000,3.946,0.257,333.566956
rp2040_2,87,3,2,1000,3.866,0.267,329.473092
rp2040_2,87,3,3,1000,4.158,0.264,346.657663
rp2040_2,87,3,4,1000,3.827,0.251,327.319801
rp2040_2,87,4,0,1000,3.976,0.237,335.647467
rp2040_2,87,4,1,1000,3.811,0.28,326.375201
rp2040_2,87,4,2,1000,4.103,0.237,342.56615600000003
rp2040_2,87,4,3,1000,3.713,0.275,321.017375
rp2040_2,87,4,4,1000,3.805,0.255,326.01433000000003
rp2040_2,87,5,0,1000,3.923,0.252,332.785952
rp2040_2,87,5,1,1000,4.086,0.247,341.522089
rp2040_2,87,5,2,1000,3.83,0.264,327.37157299999996
rp2040_2,87,5,3,1000,4.001,0.241,337.50256199999995
rp2040_2,87,5,4,1000,3.728,0.266,321.573968
rp2040_2,87,6,0,1000,3.872,0.259,329.570984
rp2040_2,87,6,1,1000,4.061,0.264,340.242084
rp2040_2,87,6,2,1000,3.946,0.239,333.773907
rp2040_2,87,6,3,1000,3.768,0.284,323.816447
rp2040_2,87,6,4,1000,3.788,0.272,324.91188
rp2040_2,87,7,0,1000,3.957,0.255,334.806326
rp2040_2,87,7,1,1000,3.724,0.28,321.893522
rp2040_2,87,7,2,1000,4.057,0.242,340.111903
rp2040_2,87,7,3,1000,3.868,0.232,329.546852
rp2040_2,87,7,4,1000,3.685,0.294,319.854803
rp2040_2,87,8,0,1000,3.851,0.262,328.58565600000003
rp2040_2,87,8,1,1000,4.103,0.229,342.609464
rp2040_2,87,8,2,1000,3.805,0.254,325.91914
rp2040_2,87,8,3,1000,3.968,0.27,335.64084
rp2040_2,87,8,4,1000,4.126,0.258,344.75868099999997
rp2040_2,87,9,0,1000,3.935,0.253,333.30293
rp2040_2,87,9,1,1000,3.815,0.253,326.846941
rp2040_2,87,9,2,1000,3.763,0.261,323.748401
rp2040_2,87,9,3,1000,4.118,0.224,344.17565
rp2040_2,87,9,4,1000,3.947,0.249,333.681812
