replicate,mode,period_ms,acq_index,start_off_us,duration_us,skipped
1,inline,100,1216,-1,0,1
1,inline,100,1221,-1,0,1
1,inline,100,1222,-1,0,1
1,inline,100,1223,-1,0,1
1,inline,100,1224,-1,0,1
1,inline,100,1225,-1,0,1
1,inline,100,1226,-1,0,1
1,inline,100,1227,-1,0,1
1,inline,100,1231,-1,0,1
1,inline,100,1232,-1,0,1
1,inline,100,1233,-1,0,1
1,inline,100,1234,-1,0,1
1,inline,100,1241,-1,0,1
1,inline,100,1242,-1,0,1
1,inline,100,1243,-1,0,1
1,inline,100,1251,-1,0,1
1,inline,100,1261,-1,0,1
1,inline,100,1262,-1,0,1
1,inline,100,1271,-1,0,1
1,inline,100,1281,-1,0,1
1,inline,100,1282,-1,0,1
1,inline,100,1291,-1,0,1
1,inline,100,1292,-1,0,1
1,inline,100,1293,-1,0,1
1,inline,100,1294,-1,0,1
1,inline,100,1295,-1,0,1
1,inline,100,1301,-1,0,1
1,inline,100,1311,-1,0,1
1,inline,100,1312,-1,0,1
1,inline,100,1313,-1,0,1
1,inline,100,1321,-1,0,1
1,inline,100,1322,-1,0,1
1,inline,100,1331,-1,0,1
1,inline,100,1341,-1,0,1
1,inline,100,1342,-1,0,1
1,inline,100,1351,-1,0,1
1,inline,100,1352,-1,0,1
1,inline,100,1353,-1,0,1
1,inline,100,1354,-1,0,1
1,inline,100,1355,-1,0,1
1,inline,100,1361,-1,0,1
1,inline,100,1362,-1,0,1
1,inline,100,1363,-1,0,1
1,inline,100,1364,-1,0,1
1,inline,100,1365,-1,0,1
1,inline,100,1366,-1,0,1
1,inline,100,1371,-1,0,1
1,inline,100,1372,-1,0,1
1,inline,100,1373,-1,0,1
1,inline,100,1381,-1,0,1
1,inline,100,1382,-1,0,1
1,inline,100,1383,-1,0,1
1,inline,100,1391,-1,0,1
1,inline,100,1392,-1,0,1
1,inline,100,1393,-1,0,1
1,inline,100,1394,-1,0,1
1,inline,100,1395,-1,0,1
1,inline,100,1401,-1,0,1
1,inline,100,1402,-1,0,1
1,inline,100,1411,-1,0,1
1,inline,100,1412,-1,0,1
1,inline,100,1413,-1,0,1
1,inline,100,1414,-1,0,1
1,inline,100,1415,-1,0,1
1,inline,100,1421,-1,0,1
1,inline,100,1431,-1,0,1
1,inline,100,1432,-1,0,1
1,inline,100,1433,-1,0,1
1,inline,100,1434,-1,0,1
1,inline,100,1435,-1,0,1
1,inline,100,1436,-1,0,1
1,inline,100,1437,-1,0,1
1,inline,100,1438,-1,0,1
1,inline,100,1439,-1,0,1
1,inline,100,1440,-1,0,1
1,inline,100,1441,-1,0,1
1,inline,100,1442,-1,0,1
1,inline,100,1443,-1,0,1
1,inline,100,1445,-1,0,1
1,inline,100,1446,-1,0,1
1,inline,100,1447,-1,0,1
1,inline,100,1448,-1,0,1
1,inline,100,1449,-1,0,1
1,inline,100,1450,-1,0,1
1,inline,100,1452,-1,0,1
1,inline,100,1453,-1,0,1
1,inline,100,1454,-1,0,1
1,inline,100,1455,-1,0,1
1,inline,100,1456,-1,0,1
1,inline,100,1457,-1,0,1
1,inline,100,1461,-1,0,1
1,inline,100,1471,-1,0,1
1,inline,100,1472,-1,0,1
1,inline,100,1481,-1,0,1
1,inline,100,1482,-1,0,1
1,inline,100,1491,-1,0,1
1,inline,100,1501,-1,0,1
1,inline,100,1511,-1,0,1
1,inline,100,1512,-1,0,1
1,inline,100,1513,-1,0,1
1,inline,100,1514,-1,0,1
1,inline,100,1515,-1,0,1
1,inline,100,1521,-1,0,1
1,inline,100,1522,-1,0,1
1,inline,100,1523,-1,0,1
1,inline,100,1524,-1,0,1
1,inline,100,1525,-1,0,1
1,inline,100,1526,-1,0,1
1,inline,100,1527,-1,0,1
1,inline,100,1528,-1,0,1
1,inline,100,1529,-1,0,1
1,inline,100,1530,-1,0,1
1,inline,100,1531,-1,0,1
1,inline,100,1532,-1,0,1
1,inline,100,1534,-1,0,1
1,inline,100,1535,-1,0,1
1,inline,100,1541,-1,0,1
1,inline,100,1542,-1,0,1
1,inline,100,1551,-1,0,1
1,inline,100,1552,-1,0,1
1,inline,100,1561,-1,0,1
1,inline,100,1562,-1,0,1
1,inline,100,1563,-1,0,1
1,inline,100,1571,-1,0,1
1,inline,100,1572,-1,0,1
1,inline,100,1573,-1,0,1
1,inline,100,1574,-1,0,1
1,inline,100,1581,-1,0,1
1,inline,100,1582,-1,0,1
1,inline,100,1583,-1,0,1
1,inline,100,1591,-1,0,1
1,inline,100,1592,-1,0,1
