board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_02,inline,250,1,47,20
rp2040_1,run_02,inline,250,1,48,22
rp2040_1,run_02,inline,250,1,49,18
rp2040_1,run_02,inline,250,1,50,9
rp2040_1,run_02,inline,250,1,51,9
rp2040_1,run_02,inline,250,1,52,17
rp2040_1,run_02,inline,250,1,53,14
rp2040_1,run_02,inline,250,1,54,50
rp2040_1,run_02,inline,250,1,55,55
rp2040_1,run_02,inline,250,1,56,50
rp2040_1,run_02,inline,250,1,57,14
rp2040_1,run_02,inline,250,1,58,8
rp2040_1,run_02,inline,250,1,59,22
rp2040_1,run_02,inline,250,1,60,11
rp2040_1,run_02,inline,250,1,61,33
rp2040_1,run_02,inline,250,1,62,27
rp2040_1,run_02,inline,250,1,63,17
rp2040_1,run_02,inline,250,1,64,20
rp2040_1,run_02,inline,250,1,65,16
rp2040_1,run_02,inline,250,1,66,15
rp2040_1,run_02,inline,250,1,67,16
rp2040_1,run_02,inline,250,1,68,32
rp2040_1,run_02,inline,250,1,69,15
rp2040_1,run_02,inline,250,1,70,8
rp2040_1,run_02,inline,250,1,71,30
rp2040_1,run_02,inline,250,1,72,47
rp2040_1,run_02,inline,250,1,73,31
rp2040_1,run_02,inline,250,1,74,9
rp2040_1,run_02,inline,250,1,75,9
rp2040_1,run_02,inline,250,1,76,20
rp2040_1,run_02,inline,250,1,77,12
rp2040_1,run_02,inline,250,1,78,22
rp2040_1,run_02,inline,250,1,79,28
rp2040_1,run_02,inline,250,1,80,10
rp2040_1,run_02,inline,250,1,81,17
rp2040_1,run_02,inline,250,1,82,15
rp2040_1,run_02,inline,250,1,83,13
rp2040_1,run_02,inline,250,1,84,10
rp2040_1,run_02,inline,250,1,85,15
rp2040_1,run_02,inline,250,1,86,18
rp2040_1,run_02,inline,250,1,87,29
rp2040_1,run_02,inline,250,1,88,31
rp2040_1,run_02,inline,250,1,89,14
rp2040_1,run_02,inline,250,1,90,9
rp2040_1,run_02,inline,250,1,91,18
rp2040_1,run_02,inline,250,1,92,16
rp2040_1,run_02,inline,250,1,93,14
rp2040_1,run_02,inline,250,1,94,18
rp2040_1,run_02,inline,250,1,95,22
rp2040_1,run_02,inline,250,1,96,24
rp2040_1,run_02,inline,250,1,97,72
rp2040_1,run_02,inline,250,1,98,74
rp2040_1,run_02,inline,250,1,99,24
rp2040_1,run_02,inline,250,1,100,1
rp2040_1,run_02,inline,250,1,101,28
rp2040_1,run_03,worker,100,1,0,0
rp2040_1,run_03,worker,100,1,1,53496
rp2040_1,run_03,worker,100,1,2,4204
rp2040_1,run_03,worker,100,1,3,1313
rp2040_1,run_03,worker,100,1,4,179
rp2040_1,run_03,worker,100,1,5,114
rp2040_1,run_03,worker,100,1,6,78
rp2040_1,run_03,worker,100,1,7,102
rp2040_1,run_03,worker,100,1,8,86
rp2040_1,run_03,worker,100,1,9,69
rp2040_1,run_03,worker,100,1,10,28
rp2040_1,run_03,worker,100,1,11,42
rp2040_1,run_03,worker,100,1,12,34
rp2040_1,run_03,worker,100,1,13,41
rp2040_1,run_03,worker,100,1,14,43
rp2040_1,run_03,worker,100,1,15,42
rp2040_1,run_03,worker,100,1,16,57
rp2040_1,run_03,worker,100,1,17,59
rp2040_1,run_03,worker,100,1,18,13
rp2040_1,run_03,worker,100,1,19,0
rp2040_1,run_03,worker,100,1,20,0
rp2040_1,run_03,worker,100,1,21,0
rp2040_1,run_03,worker,100,1,22,0
rp2040_1,run_03,worker,100,1,23,0
rp2040_1,run_03,worker,100,1,24,0
rp2040_1,run_03,worker,100,1,25,0
rp2040_1,run_03,worker,100,1,26,0
rp2040_1,run_03,worker,100,1,27,0
